proto,No,Message,hcClient,,,,fcClient,,,,,
,99,MsgOfflineTaskList,,,x,x,,,x,x,x,x
,100,MsgOnlineTask,,,x,x,,,x,x,x,x
,101,MsgPortInfo,x,x,x,x,,x,x,x,x,x
,102,MsgNetshareInfo,,,x,x,,,x,x,x,x
,103,MsgHostInfo,x,x,x,x,,x,x,x,x,x
,104,MsgHostInfoList,x,x,x,x,,x,x,x,x,x
,105,MsgHostScanRequest,,,x,x,,,x,x,x,x
,106,MsgPortScanRequest,,,x,x,,,x,x,x,x
,107,MsgRevSocks5Request,,,x,x,,,x,x,x,x
,108,MsgClientPassword,,,x,x,,,x,x,x,x
,109,MsgFirefoxPasswordInfo,,,x,x,,,,,x,x
,110,MsgClientPasswordList,,,x,x,,,x,x,x,x
,111,MsgRegValue,,,x,x,,,x,x,x,x
,112,MsgRegKey,,,x,x,,,x,x,x,x
,113,MsgRegInfo,,,x,x,,,x,x,x,x
,114,MsgMemoryLoader,,,x,x,,,,x,x,x
,115,MsgDnsRecord,,,x,x,,,,,x,x
,116,MsgDnsEntry,,,x,x,,,,,x,x
,117,MsgDnsEntryList,,,x,x,,,,,x,x
,118,msgCyProperty,,,,,,,,,,x
,119,msgCyPropertyList,,,,,,,,,,x
,120,msgCyDistrict,,,,,,,,,,x
,121,msgCyDistrictList,,,,,,,,,,x
,122,msgCyNode,,,,,,,,,,x
,123,msgCyNodeList,,,,,,,,,,x
,124,msgCyNodeGroup,,,,,,,,,,x
,125,msgCyNodeGroupList,,,,,,,,,,x
,126,msgCyStategy,,,,,,,,,,x
,127,msgCyRole,,,,,,,,,,x
,128,msgCyRoleList,,,,,,,,,,x
,,,73,79,117,117,58,96,111,112,116,127
,,,,,,,,,,,,
fc_file_transfer,1,FileData,,x,x,x,x,x,x,x,x,x
,2,File,,x,x,x,x,x,x,x,x,x
,3,Reply,,x,x,x,x,x,x,x,x,x
,4,MsgDbFileInfo,,,x,x,,x,x,x,x,x

,,,,3,4,4,3,4,4,4,4,4
